id,edge1_id,edge2_id,node1_id,node2_id,capacity
0,0,1,0,1,9999999000
1,2,3,2,1,10000002000
2,4,5,2,1,9999999000
3,6,7,3,2,10000000000
4,8,9,2,4,9999998000
5,10,11,2,5,9999999000
6,12,13,2,6,10000000000
7,14,15,7,8,10000000000
8,16,17,9,10,10000001000
9,18,19,9,10,10000000000
10,20,21,11,4,9999998000
11,22,23,8,12,9999999000
12,24,25,10,8,10000000000
13,26,27,13,10,9999999000
14,28,29,6,4,10000000000
15,30,31,14,15,9999999000
16,32,33,16,15,9999999000
17,34,35,2,17,9999999000
18,36,37,16,18,9999999000
19,38,39,2,19,9999998000
20,40,41,20,21,9999999000
21,42,43,22,23,10000001000
22,44,45,16,24,10000002000
23,46,47,3,25,9999999000
24,48,49,26,10,9999999000
25,50,51,27,28,9999999000
26,52,53,29,8,10000000000
27,54,55,27,25,10000000000
28,56,57,30,22,10000001000
29,58,59,3,31,10000000000
30,60,61,8,32,9999998000
31,62,63,10,32,9999999000
32,64,65,3,32,9999999000
33,66,67,24,32,10000001000
34,68,69,33,32,9999999000
35,70,71,2,34,10000000000
36,72,73,24,35,10000000000
37,74,75,36,4,10000000000
38,76,77,37,33,9999999000
39,78,79,38,4,10000001000
40,80,81,33,39,10000000000
41,82,83,21,40,10000001000
42,84,85,41,40,10000000000
43,86,87,42,43,10000001000
44,88,89,44,40,9999998000
45,90,91,8,45,10000001000
46,92,93,33,40,9999999000
47,94,95,43,39,10000001000
48,96,97,22,39,10000000000
49,98,99,46,6,10000000000
50,100,101,47,8,10000001000
51,102,103,48,21,10000000000
52,104,105,49,40,10000001000
53,106,107,24,39,9999999000
54,108,109,46,39,10000000000
55,110,111,50,8,9999999000
56,112,113,46,51,9999998000
57,114,115,46,51,10000000000
58,116,117,2,52,10000000000
59,118,119,53,40,9999999000
60,120,121,54,55,10000000000
61,122,123,54,56,10000000000
62,124,125,54,57,10000000000
63,126,127,58,40,10000001000
64,128,129,59,60,9999999000
65,130,131,58,61,9999997000
66,132,133,62,63,10000001000
67,134,135,63,64,10000000000
68,136,137,54,65,10000002000
69,138,139,54,66,10000000000
70,140,141,54,67,10000002000
71,142,143,46,51,10000000000
72,144,145,46,51,9999999000
73,146,147,46,68,10000000000
74,148,149,69,24,10000000000
75,150,151,46,51,10000000000
76,152,153,63,70,9999999000
77,154,155,56,8,10000000000
78,156,157,54,71,9999998000
79,158,159,54,72,10000000000
80,160,161,54,73,10000001000
81,162,163,54,74,10000000000
82,164,165,46,45,10000000000
83,166,167,75,17,9999999000
84,168,169,76,77,10000000000
85,170,171,2,78,10000001000
86,172,173,76,5,10000000000
87,174,175,79,63,9999998000
88,176,177,24,80,9999999000
89,178,179,54,66,10000002000
90,180,181,46,45,10000000000
91,182,183,33,81,10000000000
92,184,185,82,54,10000000000
93,186,187,24,83,10000000000
94,188,189,84,54,10000000000
95,190,191,54,85,9999999000
96,192,193,46,49,9999998000
97,194,195,54,86,10000000000
98,196,197,87,24,10000001000
99,198,199,54,40,9999999000
100,200,201,8,88,10000000000
101,202,203,66,8,10000000000
102,204,205,89,87,9999999000
103,206,207,89,1,9999999000
104,208,209,90,24,10000000000
105,210,211,54,80,9999998000
106,212,213,80,1,10000000000
107,214,215,10,80,10000000000
108,216,217,87,80,10000001000
109,218,219,27,80,10000000000
110,220,221,54,91,10000001000
111,222,223,87,49,10000001000
112,224,225,54,92,10000000000
113,226,227,87,93,9999998000
114,228,229,94,95,9999999000
115,230,231,54,96,10000000000
116,232,233,33,97,9999998000
117,234,235,98,77,9999999000
118,236,237,98,99,10000001000
119,238,239,95,40,9999999000
120,240,241,40,12,9999999000
121,242,243,100,1,10000000000
122,244,245,101,102,9999999000
123,246,247,12,1,10000001000
124,248,249,87,103,9999999000
125,250,251,104,10,10000001000
126,252,253,105,12,10000000000
127,254,255,106,98,9999998000
128,256,257,107,5,10000001000
129,258,259,46,108,9999998000
130,260,261,54,46,9999999000
131,262,263,66,109,9999999000
132,264,265,63,109,9999999000
133,266,267,87,110,10000000000
134,268,269,87,109,9999999000
135,270,271,111,10,9999999000
136,272,273,87,112,9999999000
137,274,275,87,76,10000000000
138,276,277,87,6,9999998000
139,278,279,54,113,9999999000
140,280,281,54,114,10000000000
141,282,283,109,17,9999999000
142,284,285,109,77,9999998000
143,286,287,87,115,9999999000
144,288,289,54,116,9999998000
145,290,291,117,4,9999999000
146,292,293,118,119,9999998000
147,294,295,54,120,10000000000
148,296,297,121,46,9999998000
149,298,299,122,87,10000000000
150,300,301,9,109,10000000000
151,302,303,123,4,10000000000
152,304,305,116,109,10000001000
153,306,307,87,124,10000000000
154,308,309,87,125,9999999000
155,310,311,46,126,10000000000
156,312,313,127,46,9999999000
157,314,315,54,127,10000000000
158,316,317,127,46,10000001000
159,318,319,127,46,10000001000
160,320,321,127,46,9999999000
161,322,323,115,128,9999999000
162,324,325,46,109,9999999000
163,326,327,127,115,9999999000
164,328,329,58,129,9999999000
165,330,331,54,33,10000000000
166,332,333,129,130,9999999000
167,334,335,40,108,9999999000
168,336,337,131,8,10000000000
169,338,339,132,2,9999998000
170,340,341,46,24,9999999000
171,342,343,115,108,10000000000
172,344,345,76,77,10000000000
173,346,347,24,75,10000000000
174,348,349,33,77,9999998000
175,350,351,46,33,10000000000
176,352,353,54,133,10000000000
177,354,355,46,93,9999999000
178,356,357,54,131,10000000000
179,358,359,134,24,10000000000
180,360,361,134,46,10000000000
181,362,363,54,129,9999999000
182,364,365,87,135,10000000000
183,366,367,136,10,9999999000
184,368,369,136,109,10000001000
185,370,371,87,137,9999997000
186,372,373,10,108,10000000000
187,374,375,4,108,9999998000
188,376,377,40,108,9999998000
189,378,379,24,108,10000000000
190,380,381,87,108,10000000000
191,382,383,10,108,10000000000
192,384,385,138,33,10000001000
193,386,387,54,139,10000000000
194,388,389,54,24,9999999000
195,390,391,24,77,9999999000
196,392,393,54,140,10000000000
197,394,395,46,137,10000000000
198,396,397,141,49,9999999000
199,398,399,54,142,9999999000
200,400,401,54,143,9999999000
201,402,403,87,144,9999999000
202,404,405,54,144,10000000000
203,406,407,46,145,10000001000
204,408,409,43,119,9999998000
205,410,411,139,58,9999998000
206,412,413,54,107,10000000000
207,414,415,146,87,9999998000
208,416,417,147,2,9999998000
209,418,419,148,63,10000000000
210,420,421,148,63,10000000000
211,422,423,148,63,10000000000
212,424,425,148,63,9999999000
213,426,427,148,63,9999999000
214,428,429,148,63,9999999000
215,430,431,54,149,10000000000
216,432,433,87,149,10000002000
217,434,435,149,130,9999998000
218,436,437,46,149,10000000000
219,438,439,2,150,9999999000
220,440,441,40,151,10000001000
221,442,443,87,152,9999998000
222,444,445,130,108,9999998000
223,446,447,87,108,9999999000
224,448,449,8,108,9999999000
225,450,451,40,108,9999999000
226,452,453,33,108,9999998000
227,454,455,108,1,9999999000
228,456,457,22,153,10000000000
229,458,459,123,130,10000000000
230,460,461,54,154,10000000000
231,462,463,54,155,9999999000
232,464,465,24,108,9999998000
233,466,467,139,108,10000001000
234,468,469,46,45,9999998000
235,470,471,156,48,9999999000
236,472,473,10,108,9999999000
237,474,475,157,116,9999999000
238,476,477,40,108,9999999000
239,478,479,158,130,10000000000
240,480,481,46,158,9999999000
241,482,483,159,58,10000001000
242,484,485,160,161,9999999000
243,486,487,2,162,10000000000
244,488,489,54,163,9999998000
245,490,491,33,128,10000000000
246,492,493,54,164,10000000000
247,494,495,165,24,9999999000
248,496,497,54,166,10000000000
249,498,499,54,164,10000001000
250,500,501,150,162,10000000000
251,502,503,54,167,9999998000
252,504,505,10,108,9999999000
253,506,507,139,108,9999998000
254,508,509,49,119,10000002000
255,510,511,60,108,9999999000
256,512,513,43,108,9999999000
257,514,515,46,165,9999998000
258,516,517,168,8,10000000000
259,518,519,13,63,9999999000
260,520,521,150,40,9999999000
261,522,523,169,109,9999999000
262,524,525,54,108,9999998000
263,526,527,8,108,10000000000
264,528,529,58,108,10000000000
265,530,531,170,150,9999999000
266,532,533,24,171,10000000000
267,534,535,170,58,10000001000
268,536,537,54,172,9999999000
269,538,539,46,173,10000002000
270,540,541,174,54,9999998000
271,542,543,174,16,10000000000
272,544,545,175,8,10000001000
273,546,547,87,176,10000000000
274,548,549,95,177,9999999000
275,550,551,54,178,9999998000
276,552,553,33,179,9999999000
277,554,555,115,180,9999999000
278,556,557,128,40,9999999000
279,558,559,181,130,10000001000
280,560,561,54,182,9999999000
281,562,563,150,183,9999999000
282,564,565,184,185,9999998000
283,566,567,160,186,10000001000
284,568,569,24,60,9999998000
285,570,571,54,187,10000000000
286,572,573,54,188,10000000000
287,574,575,58,189,10000000000
288,576,577,130,190,9999999000
289,578,579,54,191,10000000000
290,580,581,58,192,10000000000
291,582,583,54,193,10000000000
292,584,585,165,4,10000000000
293,586,587,2,194,9999997000
294,588,589,63,194,9999998000
295,590,591,194,40,10000001000
296,592,593,95,195,9999998000
297,594,595,128,1,10000000000
298,596,597,100,115,9999999000
299,598,599,156,77,9999999000
300,600,601,54,196,9999999000
301,602,603,46,145,9999999000
302,604,605,54,145,9999999000
303,606,607,46,145,10000000000
304,608,609,87,145,10000000000
305,610,611,49,130,10000000000
306,612,613,197,194,9999999000
307,614,615,194,1,10000000000
308,616,617,76,194,9999999000
309,618,619,198,194,10000000000
310,620,621,62,194,10000000000
311,622,623,199,22,10000000000
312,624,625,199,60,9999999000
313,626,627,54,200,9999999000
314,628,629,139,201,9999999000
315,630,631,58,202,10000000000
316,632,633,203,130,9999999000
317,634,635,191,8,9999999000
318,636,637,24,150,9999999000
319,638,639,87,204,9999999000
320,640,641,54,205,10000001000
321,642,643,170,130,10000002000
322,644,645,54,109,10000002000
323,646,647,206,63,9999998000
324,648,649,58,109,10000000000
325,650,651,87,39,10000000000
326,652,653,139,39,10000001000
327,654,655,46,170,10000001000
328,656,657,160,206,10000001000
329,658,659,60,207,10000000000
330,660,661,208,130,9999999000
331,662,663,139,206,9999999000
332,664,665,209,109,10000000000
333,666,667,54,210,10000000000
334,668,669,58,206,9999998000
335,670,671,206,77,10000000000
336,672,673,211,177,9999998000
337,674,675,76,212,9999997000
338,676,677,165,130,9999999000
339,678,679,207,40,9999997000
340,680,681,24,139,10000000000
341,682,683,130,213,10000001000
342,684,685,214,130,10000001000
343,686,687,54,214,10000000000
344,688,689,54,214,10000000000
345,690,691,54,215,10000000000
346,692,693,87,119,10000001000
347,694,695,109,216,9999999000
348,696,697,95,217,10000000000
349,698,699,218,58,10000000000
350,700,701,219,220,10000001000
351,702,703,150,221,10000001000
352,704,705,33,206,10000001000
353,706,707,101,222,10000000000
354,708,709,223,177,9999998000
355,710,711,224,87,9999999000
356,712,713,46,225,10000001000
357,714,715,226,10,9999999000
358,716,717,101,194,9999999000
359,718,719,219,17,9999999000
360,720,721,219,17,9999999000
361,722,723,24,63,10000000000
362,724,725,122,58,10000000000
363,726,727,54,177,9999998000
364,728,729,54,227,10000000000
365,730,731,228,77,10000000000
366,732,733,54,229,10000000000
367,734,735,87,230,10000000000
368,736,737,76,150,9999999000
369,738,739,54,231,10000000000
370,740,741,87,232,10000000000
371,742,743,228,233,10000000000
