id,sender_id,receiver_id,amount,start_time
0,7459,2823,100030,51
1,6781,161,101312,180
2,7331,6326,100536,2158
3,5174,1420,100072,2304
4,4786,4583,100572,2865
5,2149,1231,98845,5906
6,7372,4258,99312,8211
7,344,2014,100820,9440
8,5777,1360,101255,9771
9,3932,2501,101437,12666
10,2625,1847,100152,12788
11,3916,1736,100146,13655
12,5569,5930,97850,13682
13,4717,4081,99478,16700
14,876,4934,99220,16980
15,4207,6473,101567,18082
16,5961,153,100905,18916
17,4719,2416,99464,19294
18,4366,673,100961,19989
19,5042,3292,100787,20542
20,3156,1753,100424,20931
21,6663,3491,100051,21500
22,4651,119,100217,21656
23,1917,6659,100670,24398
24,7263,6347,98031,25449
25,4758,3605,99627,26836
26,4447,3531,100358,26916
27,5807,7158,101190,27845
28,3156,4127,99551,27933
29,1300,3649,99170,28073
30,1094,3243,99360,28409
31,6428,3355,99978,29940
32,7175,4659,101939,29942
33,766,5620,99973,30726
34,5708,1345,100830,34352
35,5986,7057,99734,34492
36,5051,4305,100395,36117
37,3281,1543,100187,36486
38,354,4592,99092,37689
39,3337,2076,100959,38601
40,7246,2253,99745,41131
41,6028,5200,100797,42611
42,5873,6565,98469,43284
43,1498,765,100092,43757
44,2180,4622,99858,43942
45,7221,3734,100131,44085
46,6361,6817,100614,45596
47,1580,7056,100160,47637
48,5449,559,99455,49093
49,1619,5932,100166,49320
50,5560,6473,99352,50268
51,3593,2053,101043,51115
52,1607,1766,98407,51213
53,3341,2671,100717,52450
54,3304,7440,99353,52534
55,6177,7172,102341,52550
56,5043,5077,99947,52882
57,3413,6396,99909,53165
58,1395,6307,101738,53723
59,157,2232,99054,54842
60,4846,6871,101509,56818
61,4600,1044,99795,57407
62,226,1872,100510,57544
63,4263,6684,99778,58438
64,3220,3234,98629,58797
65,7043,3590,100441,58886
66,2184,2319,99031,59775
67,6759,320,98886,59912
68,3614,6129,98169,60611
69,1566,4241,100042,61206
70,5018,6292,98542,61486
71,2048,1394,101020,61842
72,7254,2810,99705,61916
73,471,6958,99028,65104
74,2683,3033,98904,66415
75,959,2032,98890,67511
76,3503,4581,102179,67819
77,166,6229,100263,70634
78,461,1969,100526,71898
79,1194,6890,100054,73156
80,2359,7492,99885,73425
81,6880,108,100164,76587
82,1810,3324,99170,77032
83,1297,2674,99948,80283
84,6050,3869,99929,80973
85,2671,4998,100169,81904
86,5285,3133,100047,82589
87,4204,6101,100437,82650
88,3727,1900,100009,83522
89,5356,845,99648,85021
90,4543,3993,101552,85025
91,199,2482,99990,85234
92,2913,4793,100850,86551
93,974,58,100125,86762
94,2554,1854,100539,86904
95,3404,5320,98831,88682
96,3239,6073,100104,89715
97,4387,4620,98880,93259
98,2396,698,100823,94386
99,273,5544,100800,94465
100,2924,4409,99210,94520
101,3953,1033,98641,97998
102,2587,3736,99609,98233
103,3918,5796,99249,99300
104,964,2660,99927,99698
105,4793,824,98645,100377
106,3013,3853,101113,106126
107,419,3929,99505,106750
108,5598,6147,100280,111550
109,3426,5026,100631,111885
110,6858,1014,99757,112057
111,5294,4884,99530,112551
112,1276,3239,100400,115724
113,4502,116,101834,115861
